[300.04] ,[194.63] ,[194.88] ,[194.52] ,[194.52] ,[194.54] ,[193.89] ,[193.89] ,[193.89] ,[194.05] ,[193.75] ,[193.75] ,[193.75] ,[193.75] ,[193.75] ,[193.75] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] 
[105.42] ,[0.0] ,[0.61] ,[0.0] ,[0.0] ,[0.67] ,[0.0] ,[0.0] ,[0.0] ,[0.46] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[193.75] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.01] ,[0.01] ,[0.01] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[106.26] ,[2.33] ,[2.59] ,[2.32] ,[2.24] ,[2.6] ,[2.37] ,[2.3] ,[2.3] ,[2.6] ,[2.44] ,[2.44] ,[2.44] ,[2.44] ,[2.44] ,[195.78] ,[195.08] ,[195.08] ,[195.08] ,[0.0] ,[0.0] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[192.71] ,[192.71] ,[192.79] ,[192.62] ,[192.62] ,[192.62] ,[192.62] ,[192.74] ,[192.7] ,[192.7] ,[192.7] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] 
[104.78] ,[0.0] ,[0.0] ,[0.15] ,[0.0] ,[0.0] ,[0.14] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.29] ,[0.0] ,[0.0] ,[195.08] ,[196.41] ,[192.67] ,[192.67] ,[193.58] ,[192.7] ,[192.7] ,[192.7] ,[0.0] ,[0.25] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.16] ,[0.0] ,[0.0] ,[192.7] ,[192.7] ,[192.7] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[104.78] ,[0.0] ,[0.0] ,[0.15] ,[0.0] ,[0.0] ,[0.14] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.29] ,[0.0] ,[0.0] ,[0.0] ,[5.07] ,[0.0] ,[0.0] ,[1.78] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.25] ,[0.25] ,[0.25] ,[0.0] ,[0.0] ,[0.16] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[192.7] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] 
[104.78] ,[0.0] ,[0.0] ,[0.15] ,[0.0] ,[0.0] ,[0.14] ,[0.0] ,[0.0] ,[0.01] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.29] ,[0.0] ,[0.0] ,[0.0] ,[5.07] ,[0.0] ,[0.0] ,[1.78] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.25] ,[0.25] ,[0.25] ,[0.3] ,[0.18] ,[0.18] ,[0.0] ,[0.0] ,[192.7] ,[0.99] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[104.89] ,[0.35] ,[0.35] ,[0.43] ,[0.35] ,[0.35] ,[0.4] ,[0.31] ,[0.31] ,[0.31] ,[0.31] ,[0.51] ,[0.45] ,[0.45] ,[0.44] ,[0.55] ,[0.15] ,[0.15] ,[0.0] ,[5.07] ,[0.0] ,[0.0] ,[1.78] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.05] ,[0.91] ,[0.91] ,[192.47] ,[193.31] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] 
[104.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.26] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.15] ,[0.0] ,[5.07] ,[0.0] ,[0.0] ,[1.78] ,[0.0] ,[0.02] ,[0.02] ,[0.01] ,[0.01] ,[0.01] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[0.0] ,[0.0] ,[0.0] ,[193.31] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[104.66] ,[104.69] ,[0.25] ,[0.25] ,[0.25] ,[0.25] ,[0.25] ,[0.25] ,[0.25] ,[0.25] ,[0.0] ,[0.26] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.18] ,[0.11] ,[5.11] ,[5.14] ,[4.43] ,[5.54] ,[4.99] ,[1.09] ,[1.09] ,[0.0] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[1.01] ,[1.01] ,[0.0] ,[193.31] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] 
[0.03] ,[104.53] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.25] ,[0.0] ,[0.26] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.09] ,[0.0] ,[0.0] ,[0.82] ,[0.0] ,[0.0] ,[4.01] ,[0.0] ,[1.08] ,[0.0] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[0.0] ,[193.31] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.01] ,[0.01] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[0.0] ,[104.53] ,[104.5] ,[104.5] ,[104.5] ,[104.5] ,[104.5] ,[0.0] ,[0.0] ,[0.25] ,[0.0] ,[0.26] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.09] ,[0.0] ,[0.0] ,[0.82] ,[0.0] ,[4.01] ,[4.01] ,[0.0] ,[1.08] ,[1.08] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[0.0] ,[193.31] ,[193.31] ,[193.31] ,[193.31] ,[193.57] ,[1.66] ,[1.66] ,[0.0] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] 
[0.0] ,[0.03] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[104.72] ,[0.26] ,[0.26] ,[0.39] ,[0.28] ,[0.38] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.09] ,[0.0] ,[0.0] ,[0.82] ,[0.0] ,[4.01] ,[0.0] ,[0.0] ,[0.0] ,[1.08] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[192.16] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] 
[0.0] ,[0.03] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[104.69] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.23] ,[0.0] ,[0.02] ,[0.0] ,[0.22] ,[0.0] ,[0.09] ,[0.0] ,[0.0] ,[0.82] ,[0.0] ,[4.01] ,[0.0] ,[0.0] ,[0.0] ,[1.08] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[192.16] ,[192.16] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] 
[0.0] ,[0.03] ,[0.03] ,[0.03] ,[0.03] ,[0.03] ,[104.71] ,[104.86] ,[0.26] ,[0.26] ,[0.26] ,[0.34] ,[0.2] ,[0.21] ,[0.0] ,[0.22] ,[0.0] ,[0.09] ,[0.07] ,[0.02] ,[0.85] ,[0.13] ,[4.08] ,[0.01] ,[0.0] ,[0.0] ,[1.08] ,[0.0] ,[0.01] ,[0.0] ,[0.0] ,[0.0] ,[1.01] ,[1.01] ,[1.01] ,[1.01] ,[1.01] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[192.16] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[1.66] ,[0.08] ,[0.08] ,[0.11] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.1] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] ,[0.0] 
